key,group,master_path,selected_path,public_path,generated_at_utc,generator,source_sha256,selected_sha256,source_dimensions,selected_dimensions,synthetic_confirmed,technical_review,human_review,legal_review
company-private-lounge,company,assets/synthetic-services/master/company-private-lounge-v01.png,assets/synthetic-services/selected/company-private-lounge-v01.webp,,2026-08-30T04:53:40Z,OpenAI ImageGen runtime,9DEB6A66E399A0F548D779D9545F14A9ACD6B7D26E5C6E585D26A5322B4FAA85,5576E55BC1F21ABCB3E6620F4779EBEF347123C34745FAE317DB994DC0B895D1,1122x1402,960x1200,true,PASS_HASH_DIMENSION,PENDING,PENDING
settings-private-celebration,settings,assets/synthetic-services/master/settings-private-celebration-v01.png,assets/synthetic-services/selected/settings-private-celebration-v01.webp,,2026-08-30T04:58:19Z,OpenAI ImageGen runtime,9321C1C4DA9FE0FFE39291DB3B669B5A136262F86531103DD2904643490672E5,71A7F206465E0739716FA54713816E1BD28783FD9BCF4AEF4C6F8B8111A62A68,1122x1402,960x1200,true,PASS_HASH_DIMENSION,PENDING,PENDING
settings-hotel-arrival,settings,assets/synthetic-services/master/settings-hotel-arrival-v01.png,assets/synthetic-services/selected/settings-hotel-arrival-v01.webp,,2026-08-30T04:54:28Z,OpenAI ImageGen runtime,17BB672F8BAEF51517395B599BDC143CBA2FBBDF3C279E11B47E400BF6836EE2,DC2790E12E9D4D1B8660F60E290C124B6C4DF58047546C684DE8817629C9CDCD,1122x1402,960x1200,true,PASS_HASH_DIMENSION,PENDING,PENDING
settings-home-arrival,settings,assets/synthetic-services/master/settings-home-arrival-v01.png,assets/synthetic-services/selected/settings-home-arrival-v01.webp,,2026-08-30T04:58:37Z,OpenAI ImageGen runtime,3FB8DC68C765918E23F9FDD7A7E60594D08EF9099C7B082CACC7BA6D22FF4D03,B153458FE8CBE7F83C2F9C8F622ED4E997F5A059B5376CE3577D8AE107BB4A69,1122x1402,960x1200,true,PASS_HASH_DIMENSION,PENDING,PENDING
couples-two-settings,couples,assets/synthetic-services/master/couples-two-settings-v01.png,assets/synthetic-services/selected/couples-two-settings-v01.webp,,2026-08-30T04:58:56Z,OpenAI ImageGen runtime,4F533DB85392CBD15F75B3FF3C8EF20B49FC3E07D6D22208CE1669C0C2B82058,ED66BA9C32B365C60EADCE0493345961911EC95AD5B7D21EB78D5815D68E5A20,1122x1402,960x1200,true,PASS_HASH_DIMENSION,PENDING,PENDING
couples-private-gathering,couples,assets/synthetic-services/master/couples-private-gathering-v01.png,assets/synthetic-services/selected/couples-private-gathering-v01.webp,,2026-08-30T04:54:49Z,OpenAI ImageGen runtime,86DB70067E6E011A8B2D41D17BC5423E347D00BA9DEBC320CD8F0A69ED730269,A4897113E3D38F509175C991BFDC4E9D87B885ACCFB491B8EE314F67DC97617D,1122x1402,960x1200,true,PASS_HASH_DIMENSION,PENDING,PENDING
wellbeing-spa-ritual,wellbeing,assets/synthetic-services/master/wellbeing-spa-ritual-v01.png,assets/synthetic-services/selected/wellbeing-spa-ritual-v01.webp,,2026-08-30T04:55:07Z,OpenAI ImageGen runtime,47D567E19F5B6BEFE588F362BD48BF0113DACF2EC7A858020536BAE0BC31C643,9E6E78588BDB2D101A6DAC2032459E1865430A2E62030391DD2C033C393B68BA,1122x1402,960x1200,true,PASS_HASH_DIMENSION,PENDING,PENDING
wellbeing-water-ritual,wellbeing,assets/synthetic-services/master/wellbeing-water-ritual-v01.png,assets/synthetic-services/selected/wellbeing-water-ritual-v01.webp,,2026-08-30T04:59:39Z,OpenAI ImageGen runtime,9549537E9564B6266DE5BB25E1178307C977F73A8224A2D25B9C7FC601E1DF39,C6A0400CB669635AB13CE5A57492EEBF8EE68E6DFB374925E22FF83FD26FC785,1122x1402,960x1200,true,PASS_HASH_DIMENSION,PENDING,PENDING
roleplay-theatre-mask,roleplay,assets/synthetic-services/master/roleplay-theatre-mask-v01.png,assets/synthetic-services/selected/roleplay-theatre-mask-v01.webp,,2026-08-30T04:55:50Z,OpenAI ImageGen runtime,EE47A98D925C92967DB2C875A4C03EDA881D962202BCE12B171DF4D38271DF2D,D4AF0500CD243E75B74727E89006E5D77B67C88B4B0DEA030548E351F32C8AE4,1122x1402,960x1200,true,PASS_HASH_DIMENSION,PENDING,PENDING
roleplay-consent-accessories,roleplay,assets/synthetic-services/master/roleplay-consent-accessories-v01.png,assets/synthetic-services/selected/roleplay-consent-accessories-v01.webp,,2026-08-30T05:00:04Z,OpenAI ImageGen runtime,27EF3AFFC877342B06AE216C2C95BD5D523095E78EF21B06F3165029C35424DD,F2B6686A40151BE5389B33950BBB7754C097C5478A690A935F14D97646255DA4,1122x1402,960x1200,true,PASS_HASH_DIMENSION,PENDING,PENDING
preferences-silk-envelope,private-preferences,assets/synthetic-services/master/preferences-silk-envelope-v01.png,assets/synthetic-services/selected/preferences-silk-envelope-v01.webp,,2026-08-30T05:00:23Z,OpenAI ImageGen runtime,D26433F44249F2EFAFC75966C5A17341CECDCBF6B7EFD5380738213C6E25CE6A,1CC069EFC5EB27B8E6616591ECCDBAD724BB8C1CFAC34F53656A6B05748A64E9,1122x1402,960x1200,true,PASS_HASH_DIMENSION,PENDING,PENDING
preferences-choice-boxes,private-preferences,assets/synthetic-services/master/preferences-choice-boxes-v01.png,assets/synthetic-services/selected/preferences-choice-boxes-v01.webp,,2026-08-30T04:56:09Z,OpenAI ImageGen runtime,031C6E531D7A1A8105240B3AE2C2C6A64B2E09A59E6D3B91302F5C13698EB5AE,AF8D6BB7E879DC86B4C18042563C52E81225BFBE55124BE64C1E00EBC0997259,1122x1402,960x1200,true,PASS_HASH_DIMENSION,PENDING,PENDING
